,pos_score
0,0.0
1,0.6894410398057408
2,0.35355339059327373
3,0.0
4,0.4583333333333333
5,0.7071067811865475
6,0.4743416490252569
7,0.2773500981126146
8,0.625
9,0.6634034720037775
10,0.43481317827315213
11,0.1275775907699572
12,0.03466876226407682
13,0.4082482904638631
14,0.3041651646201798
15,0.5303300858899106
16,0.3941203906840411
17,0.890049155945895
18,0.0
19,0.44194173824159216
20,
21,0.4301545010073033
22,0.15075567228888181
23,0.6363961030678927
24,0.3061862178478973
25,0.41099746826339323
26,0.5613413993878117
27,0.0
28,0.8578044581209013
29,0.1875
30,0.7037361474426274
31,0.7037361474426274
32,0.16770509831248423
33,0.6149186938124421
34,0.625
35,0.0
36,0.17677669529663687
37,0.17677669529663687
38,0.5694424517739725
39,0.5197011503876874
40,0.3428017223313403
41,0.25
42,0.75
43,0.1976423537605237
44,0.8488746876271654
45,0.36490022459988086
46,0.5303300858899106
47,0.1976423537605237
48,0.10206207261596577
49,0.375
50,0.14433756729740646
51,1.407052941362897
52,0.5103103630798288
53,0.5786375623578447
54,0.044194173824159216
55,0.0
56,0.7071067811865475
57,0.3392002626499841
58,0.1613743060919757
59,0.1417366773784602
60,0.7878537272712627
61,0.42033640373835374
62,0.5212860351426869
63,1.0621322893124001
64,0.655746607095121
65,0.33541019662496846
66,0.0
67,0.649519052838329
68,0.5951190357119042
69,0.33541019662496846
70,0.6010407640085653
71,0.625
72,0.5303300858899106
73,0.0
74,0.0
75,0.7071067811865475
76,0.24659848095803594
77,0.8838834764831843
78,0.43301270189221935
79,0.23985080590006172
80,0.5794829062159567
81,0.33541019662496846
82,0.7873511764136762
83,0.43301270189221935
84,0.5
85,0.7850798981177466
86,0.375
87,0.375
88,0.22360679774997896
89,
90,0.2651650429449553
91,0.23385358667337133
92,0.48613591206575146
93,0.1976423537605237
94,0.5303300858899106
95,0.48745026271476116
96,0.6261184023260642
97,0.7637626158259734
98,0.8185577344976238
99,0.5303300858899106
100,0.34375
101,0.8838834764831843
102,0.16770509831248423
103,0.0
104,0.0944911182523068
105,0.2886751345948129
106,0.0
107,0.5163977794943222
108,0.5303300858899106
109,0.8838834764831843
110,0.5
111,0.7071067811865475
112,0.4330127018922193
113,0.40158725257230393
114,0.17160161824591105
115,0.8125
116,0.3572172541558802
117,0.2886751345948129
118,0.4472135954999579
119,0.3913118960624632
120,0.3913118960624632
121,0.9432422182837986
122,0.22613350843332272
123,0.7071067811865475
124,0.08385254915624211
125,0.31622776601683794
126,1.2633379307504098
127,0.795495128834866
128,0.25
129,0.26965968581500305
130,0.0
131,0.79499841000477
132,0.4375
133,0.12009611535381534
134,1.118033988749895
135,0.16770509831248423
136,0.0
137,0.7399500264657518
138,0.45305152225567213
139,0.2651650429449553
140,0.795495128834866
141,0.0
142,0.0
143,0.1889822365046136
144,0.6805446536716203
145,0.24268133584853777
146,0.375
147,0.8159123900082741
148,0.236227795630767
149,0.2886751345948129
150,0.43301270189221935
151,0.2916666666666667
152,0.5753964555687505
153,0.867527617235709
154,0.0
155,0.044194173824159216
156,0.75
157,0.2525907427704613
158,0.8333333333333334
159,0.25
160,0.0
161,0.472455591261534
162,0.4167467871686411
163,0.10425720702853739
164,0.6823994534614656
165,0.08838834764831843
166,
167,0.710046946804693
168,0.43301270189221935
169,0.0625
170,0.14433756729740646
171,0.26965968581500305
172,0.829941011960087
173,0.125
174,0.375
175,0.65625
176,0.14433756729740646
177,0.07216878364870323
178,0.6901970379677909
179,0.125
180,0.816496580927726
181,1.0136634485649179
182,0.2886751345948129
183,0.8703882797784892
184,0.7967217989988726
185,0.8597442388582781
186,0.0
187,0.6164962023950898
188,0.2651650429449553
189,0.7302338129452973
190,0.4252100321353806
191,0.15158476564770812
192,
193,0.75
194,0.7527543243633225
195,0.44194173824159216
196,0.4588314677411235
197,0.30935921676911454
198,1.0050951925831932
199,0.12126781251816648
200,0.22097086912079608
201,0.75
202,0.1563858105428061
203,0.0
204,0.0
205,0.5625
206,0.55930807327745
207,0.46875
208,0.1523179489612356
209,0.10206207261596577
210,0.965378498393915
211,0.3281962308702628
212,0.4252100321353806
213,1.5843259079738503
214,0.6141922686399942
215,0.17677669529663687
216,1.009955922262096
217,0.649519052838329
218,0.7864587002723299
219,0.6719840027857805
220,0.5031152949374527
221,0.40144827099604535
222,0.1636634176769943
223,0.1889822365046136
224,0.6413721018854212
225,0.0
226,0.125
227,0.325
228,0.1091089451179962
229,0.5161854012087639
230,0.5669467095138409
231,
232,0.5
233,0.10400628679223047
234,0.375
235,0.2886751345948129
236,0.1976423537605237
237,0.5833333333333334
238,0.625
239,0.32035580361387384
240,0.22360679774997896
241,0.0
242,0.4472135954999579
243,0.44194173824159216
244,0.4166666666666667
245,0.14433756729740646
246,0.0472455591261534
247,0.8741572761215377
248,0.34375
249,0.6067033396213444
250,0.9428090415820635
251,0.5533985905294664
252,0.35355339059327373
253,0.5303300858899106
254,0.5303300858899106
255,0.6141922686399942
256,0.8067473868280244
257,0.3941203906840411
258,0.5804645575434408
259,0.375
260,0.8838834764831843
261,0.07216878364870323
262,0.3061862178478973
263,0.4592793267718459
264,0.5
265,0.1613743060919757
266,
267,
268,0.6516075439283587
269,0.18844459036110225
270,0.0
271,0.5
272,0.414578098794425
273,0.125
274,0.2773500981126146
275,0.4691574316284183
276,0.5473503368998213
277,0.0
278,0.07216878364870323
279,0.4488328116984573
280,0.0
281,0.2430679560328757
282,0.22592402852876597
283,0.25
284,0.0
285,0.9974531521318053
286,0.5869678440936947
287,0.21650635094610968
288,0.275
289,0.9722718241315028
290,0.21875
291,0.4680282905650371
292,
293,0.0625
294,0.6959705453537528
295,0.0944911182523068
296,0.0
297,0.2773500981126146
298,0.75
299,0.0
300,0.2886751345948129
301,0.7216878364870323
302,0.8124171045246019
303,0.2175970699446223
304,0.33407655239053047
305,0.7453783886776517
306,0.3779644730092272
307,0.3307189138830738
308,0.35139096424936367
309,0.8675276172357089
310,0.9100137361600648
311,0.9560661587986472
312,0.5652268420543414
313,0.15625
314,0.8125
315,0.0
316,0.2773500981126146
317,0.44194173824159216
318,0.2525907427704613
319,0.0
320,1.3008410740747696
321,0.637887953849786
322,0.3572172541558802
323,0.17677669529663687
324,0.0668153104781061
325,0.3768891807222045
326,0.4472135954999579
327,0.08333333333333333
328,0.7938566201357354
329,0.19364916731037085
330,0.20016019225635892
331,0.6784005252999682
332,0.5056498968474316
333,0.36084391824351614
334,0.16666666666666666
335,0.053300179088902604
336,0.3314563036811941
337,0.8944271909999159
338,0.0
339,0.75
340,0.08333333333333333
341,0.40625
342,0.6976315752707978
343,0.3333333333333333
344,0.2916666666666667
345,0.3958333333333333
346,0.26382242650554316
347,0.5416666666666666
348,0.43342255783053524
349,0.8316320352807863
350,0.2916666666666667
351,0.35355339059327373
352,
353,0.6454972243679028
354,0.646830289238934
355,0.625
356,1.0
357,0.7742781018131459
358,0.3046358979224712
359,0.0
360,0.3
361,0.8574929257125441
362,0.5625
363,0.2867073193284778
364,0.397747564417433
365,0.5303300858899106
366,0.5533985905294664
367,0.20412414523193154
368,0.0
369,0.5909319600388431
370,0.6645570174272217
371,0.4642383454426297
372,0.3061862178478973
373,0.6134346610139774
374,0.125
375,0.21320071635561041
376,0.35355339059327373
377,0.34934784802388424
378,0.7001400420140048
379,0.3572172541558802
380,0.0
381,0.20833333333333334
382,0.35355339059327373
383,0.25
384,0.2916666666666667
385,0.15309310892394865
386,0.15309310892394865
387,0.0
388,0.8125
389,0.1889822365046136
390,0.7938566201357354
391,1.3153788499848027
392,0.0
393,0.375
394,0.6784005252999682
395,0.0625
396,0.44194173824159216
397,1.0
398,0.4899559349388659
399,0.13258252147247765
400,0.6123724356957946
401,0.0
402,0.3125
403,0.7160894433721886
404,0.5929270612815711
405,0.3314563036811941
406,0.48412291827592707
407,0.20412414523193154
408,0.4252100321353806
409,0.4603684421896255
410,0.0
411,0.6708203932499369
412,0.9129440729540229
413,0.0
414,0.0
415,0.25
416,0.46770717334674267
417,0.5103103630798288
418,0.2551551815399144
419,0.5
420,0.25
421,0.125
422,0.9327531340557956
423,0.414578098794425
424,0.375
425,0.8385254915624211
426,0.07537783614444091
427,0.375
428,0.16770509831248423
429,0.795495128834866
430,0.0
431,0.044194173824159216
432,0.625
433,0.6719840027857805
434,0.2886751345948129
435,0.9503288904374105
436,0.75
437,0.4195731958391368
438,0.5303300858899106
439,0.0
440,0.375
441,0.5613413993878117
442,0.12126781251816648
443,0.5403830945624492
444,
445,0.03031695312954162
446,0.9049464107498929
447,0.0
448,1.27642213715613
449,0.625
450,0.5
451,0.75
452,0.6324555320336759
453,0.0944911182523068
454,0.5011148285857957
455,0.0
456,
457,0.18190171877724973
458,0.39096452635701523
459,1.0075541877122394
460,0.0
461,0.42008402520840293
462,0.5929270612815711
463,0.0
464,0.1889822365046136
465,0.5222329678670935
466,0.43301270189221935
467,0.4691574316284183
468,0.34375
469,0.43301270189221935
470,0.05590169943749474
471,0.14433756729740646
472,0.0
473,0.4008918628686366
474,0.3941203906840411
475,0.4082482904638631
476,0.5416666666666666
477,0.15309310892394865
478,0.3779644730092272
479,0.13258252147247765
480,1.6063578798941014
481,0.2886751345948129
482,0.19293590828532242
483,0.0
484,0.6618314236520757
485,0.20833333333333334
486,0.0
487,0.0
488,0.1875
489,0.22613350843332272
490,0.8838834764831843
491,0.875
492,0.4252100321353806
493,0.3850770231077027
494,0.2672612419124244
495,0.375
496,0.7267220926874316
497,0.5653337710833068
498,0.47970161180012344
499,0.5
500,0.8425448099399562
501,0.5161854012087639
502,0.2886751345948129
503,0.21221867190679136
504,0.5448623679425841
505,0.75
506,0.21320071635561041
507,0.8333333333333334
508,0.0
509,0.5597928684393502
510,0.3535533905932738
511,0.4054653794259671
512,0.9001487972234686
513,0.5103103630798288
514,0.35575623676894264
515,0.7462025072446364
516,0.075
517,0.5146826748725408
518,0.25055741429289785
519,1.0606601717798212
520,0.4166666666666667
521,0.24514516892273006
522,0.0
523,0.75
524,0.16666666666666666
525,0.4743416490252569
526,0.45226701686664544
527,0.437587526258753
528,0.4472135954999579
529,0.0
530,0.0
531,0.0
532,0.0
533,0.30151134457776363
534,0.0
535,0.3952847075210474
536,0.23717082451262844
537,0.5103103630798288
538,0.45226701686664544
539,0.5
540,0.1613743060919757
541,0.8838834764831843
542,0.2672612419124244
543,0.5773502691896258
544,0.5853441401696435
545,0.125
546,0.3334864844249578
547,0.0
548,0.6149186938124421
549,0.3061862178478973
550,0.75
551,0.0
552,0.10564428184106457
553,0.33541019662496846
554,0.5
555,0.5303300858899106
556,0.3227486121839514
557,0.0
